index,class,signer,source_file,n_frames_raw,standardize
0,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__001.npy,82,padded
1,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__002.npy,206,subsampled
2,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__003.npy,192,subsampled
3,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__004.npy,214,subsampled
4,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__005.npy,168,subsampled
5,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__006.npy,217,subsampled
6,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__007.npy,174,subsampled
7,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__008.npy,173,subsampled
8,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__009.npy,204,subsampled
9,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__010.npy,217,subsampled
10,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__011.npy,215,subsampled
11,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__012.npy,148,subsampled
12,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__013.npy,196,subsampled
13,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__014.npy,51,padded
14,building_on_fire,signer01,D:\College notes\SEM-6\Minor Project\NSL\Data Collection\data\raw\building_on_fire\building_on_fire__signer01__015.npy,189,subsampled
